mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nb__alpha,param_tfidf__max_features,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.40312418937683103,0.027103946215081883,0.0765080451965332,0.011009272136690425,0.1,10000,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2)}",0.9568965517241379,0.9310344827586207,0.9344978165938864,0.9565217391304348,0.935064935064935,0.942803105054403,0.011438389063883081,3
0.6065784454345703,0.06921607248030254,0.13760809898376464,0.056968999160875125,0.1,10000,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 3)}",0.9437229437229437,0.9344978165938864,0.9333333333333333,0.9519650655021834,0.9237668161434978,0.937457195059169,0.009622146770842067,7
0.2121122360229492,0.01205363053719359,0.055710649490356444,0.00764993791802489,0.5,2500,"(1, 1)","{'nb__alpha': 0.5, 'tfidf__max_features': 2500, 'tfidf__ngram_range': (1, 1)}",0.9478260869565217,0.9396551724137931,0.908256880733945,0.9380530973451328,0.9210526315789473,0.9309687738056681,0.01431062633862636,14
0.5004431247711182,0.1111186426788274,0.12018828392028809,0.036616999285010984,0.5,2500,"(1, 2)","{'nb__alpha': 0.5, 'tfidf__max_features': 2500, 'tfidf__ngram_range': (1, 2)}",0.9385964912280702,0.9304347826086956,0.9041095890410958,0.9515418502202643,0.9244444444444444,0.929825431508514,0.01574271396312671,15
0.8028826236724853,0.10227497549707783,0.08834233283996581,0.01317136804653912,0.5,2500,"(1, 3)","{'nb__alpha': 0.5, 'tfidf__max_features': 2500, 'tfidf__ngram_range': (1, 3)}",0.9292035398230089,0.9298245614035088,0.8990825688073395,0.9515418502202643,0.9147982062780269,0.9248901453064295,0.017442164128331522,16
0.3626570224761963,0.08866415085645121,0.07627296447753906,0.025723733893154386,0.5,5000,"(1, 1)","{'nb__alpha': 0.5, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1)}",0.9333333333333333,0.9473684210526315,0.91324200913242,0.9427312775330396,0.9333333333333333,0.9340016748769516,0.011719496136957105,12
0.48493432998657227,0.021605284601359097,0.08529291152954102,0.006819591242177002,0.5,5000,"(1, 2)","{'nb__alpha': 0.5, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2)}",0.9285714285714286,0.9380530973451328,0.8930232558139535,0.9327354260089686,0.918918918918919,0.9222604253316804,0.01590560050372578,19
0.6290032386779785,0.05888295654065586,0.10712532997131348,0.014968285065000317,0.5,5000,"(1, 3)","{'nb__alpha': 0.5, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 3)}",0.9041095890410958,0.9285714285714286,0.8826291079812206,0.9181818181818182,0.9041095890410958,0.9075203065633317,0.015489708342496099,24
0.2123958110809326,0.009116980419325937,0.06572871208190918,0.006683244966001821,0.5,7500,"(1, 1)","{'nb__alpha': 0.5, 'tfidf__max_features': 7500, 'tfidf__ngram_range': (1, 1)}",0.918918918918919,0.9473684210526315,0.8930232558139535,0.9333333333333333,0.918918918918919,0.9223125696075514,0.018056303925389556,17
0.4907673835754395,0.07858267629786952,0.07701845169067383,0.00657844214827803,0.5,7500,"(1, 2)","{'nb__alpha': 0.5, 'tfidf__max_features': 7500, 'tfidf__ngram_range': (1, 2)}",0.9140271493212669,0.9285714285714286,0.8930232558139535,0.91324200913242,0.9140271493212669,0.9125781984320673,0.011338595619324527,21
